epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18818,1.24709,3.51734,1.348,0.00333,1,0.37748,0.26271,0.81627,3.30557,1.14867,8e-05,8e-05,8e-05
2,11.934,0.68289,2.22448,0.94757,0.00333,1,0.995,0.815,0.71412,2.52044,0.81754,0.000178218,0.000178218,0.000178218
3,17.5419,0.78042,1.38939,0.94752,0.9691,1,0.995,0.8283,0.76953,2.07431,0.90247,0.000274456,0.000274456,0.000274456
4,23.2209,0.64779,1.35854,0.89512,0.97332,1,0.995,0.84131,0.67873,1.91537,0.79515,0.000368714,0.000368714,0.000368714
5,28.9179,0.65561,1.28479,0.90988,0.92486,1,0.995,0.83713,0.59886,2.35219,0.78299,0.000460992,0.000460992,0.000460992
6,34.5809,0.60988,1.34461,0.8472,0.02918,1,0.995,0.86693,0.6203,2.39673,0.80519,0.00055129,0.00055129,0.00055129
7,40.5268,0.58014,1.20281,0.82783,0.97136,1,0.995,0.87725,0.58108,2.06328,0.80141,0.000639608,0.000639608,0.000639608
8,46.6363,0.70127,1.19721,0.90412,0.96364,1,0.995,0.86164,0.61088,1.8221,0.80414,0.000725946,0.000725946,0.000725946
9,52.5875,0.73283,1.22,0.93858,0.98073,1,0.995,0.8195,0.6735,1.63131,0.81204,0.000810304,0.000810304,0.000810304
10,58.5831,0.64884,1.13619,0.91161,0.98735,1,0.995,0.81233,0.89566,1.32478,0.8487,0.000892682,0.000892682,0.000892682
11,64.7662,0.64925,1.05482,0.92626,0.99134,1,0.995,0.83733,0.69309,1.21168,0.813,0.00097308,0.00097308,0.00097308
12,70.8403,0.57458,1.07795,0.89999,0.99224,1,0.995,0.83108,0.7265,1.10671,0.83921,0.0010515,0.0010515,0.0010515
13,76.9279,0.57443,1.04931,0.8654,0.99386,1,0.995,0.78025,0.75842,1.16724,0.84161,0.00112794,0.00112794,0.00112794
14,82.9417,0.63992,0.96494,0.89401,0.99386,1,0.995,0.78025,0.75842,1.16724,0.84161,0.00120239,0.00120239,0.00120239
15,88.9232,0.55871,0.97874,0.81966,0.98875,1,0.995,0.80088,0.74977,1.23866,0.82169,0.00127487,0.00127487,0.00127487
16,94.9494,0.64136,0.95452,0.89877,0.97808,1,0.995,0.79175,0.96677,1.43464,0.86389,0.00134537,0.00134537,0.00134537
17,100.844,0.67316,0.94933,0.90812,0.98768,1,0.995,0.804,0.83533,1.23722,0.84597,0.00141389,0.00141389,0.00141389
18,106.463,0.68942,0.99062,0.86789,0.98768,1,0.995,0.804,0.83533,1.23722,0.84597,0.00148043,0.00148043,0.00148043
19,112.23,0.62166,0.95482,0.85486,0.99213,1,0.995,0.8675,0.61926,1.05026,0.7882,0.00154498,0.00154498,0.00154498
20,117.81,0.61413,0.88666,0.88694,0.99209,1,0.995,0.80088,0.79588,1.09736,0.82248,0.00160756,0.00160756,0.00160756
21,123.46,0.65052,0.96724,0.88507,0.99209,1,0.995,0.80088,0.79588,1.09736,0.82248,0.001604,0.001604,0.001604
22,129.212,0.6585,0.87201,0.88154,0.99167,1,0.995,0.82998,0.74002,1.09841,0.80243,0.0015842,0.0015842,0.0015842
23,134.881,0.65262,0.96479,0.90435,0.9912,1,0.995,0.72629,1.05619,1.13069,0.87934,0.0015644,0.0015644,0.0015644
24,140.432,0.76097,0.89372,0.95332,0.9912,1,0.995,0.72629,1.05619,1.13069,0.87934,0.0015446,0.0015446,0.0015446
25,146.142,0.563,0.86203,0.89072,0.99241,1,0.995,0.7585,1.03404,1.04312,0.8753,0.0015248,0.0015248,0.0015248
26,151.772,0.60859,0.82962,0.88112,0.99241,1,0.995,0.7585,1.03404,1.04312,0.8753,0.001505,0.001505,0.001505
27,157.302,0.65858,0.90904,0.89415,0.99242,1,0.995,0.82536,0.78712,0.90344,0.80923,0.0014852,0.0014852,0.0014852
28,162.939,0.61375,0.83961,0.86864,0.99349,1,0.995,0.76462,0.86661,0.94192,0.83492,0.0014654,0.0014654,0.0014654
29,168.596,0.72701,0.95135,0.92854,0.99349,1,0.995,0.76462,0.86661,0.94192,0.83492,0.0014456,0.0014456,0.0014456
30,174.131,0.59881,0.8335,0.90201,0.99351,1,0.995,0.82003,0.81681,0.84915,0.84486,0.0014258,0.0014258,0.0014258
31,179.688,0.59401,0.84715,0.87507,0.99261,1,0.995,0.82864,0.80548,0.80159,0.856,0.001406,0.001406,0.001406
32,185.267,0.66153,0.88682,0.92746,0.99261,1,0.995,0.82864,0.80548,0.80159,0.856,0.0013862,0.0013862,0.0013862
33,190.716,0.59336,0.80571,0.87791,0.99299,1,0.995,0.80007,0.82397,0.76393,0.85559,0.0013664,0.0013664,0.0013664
34,196.083,0.65634,0.8003,0.91447,0.99299,1,0.995,0.80007,0.82397,0.76393,0.85559,0.0013466,0.0013466,0.0013466
35,201.748,0.58154,0.75571,0.86675,0.99257,1,0.995,0.82864,0.71223,0.77219,0.80409,0.0013268,0.0013268,0.0013268
36,207.294,0.5631,0.79306,0.87871,0.99236,1,0.995,0.85604,0.612,0.76145,0.77258,0.001307,0.001307,0.001307
37,212.778,0.5742,0.78656,0.90962,0.99236,1,0.995,0.85604,0.612,0.76145,0.77258,0.0012872,0.0012872,0.0012872
